transactionId,amount,currency,merchantCountry,issuerCountry,region,cardType,cardBrand,cardPresence,channel,paymentChannel,mcc,threeDS,eci,authDate,clearingDate,clearingDelayDays,category,condition,feeRate,feeAmount,suggestionType,expectedImpact,difficulty,historicalSuccessRate,label_actualSavings,label_successfulRecommendation
T-11,2573,RON,DE,RO,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5812,True,05,2026-05-21T10:00:00,2026-05-23T10:00:00,2,Ecom Non-Secure Credit,clearing time,0.015,38.595,OPTIMIZE_CLEARING,12.0901,LOW,0.35,12.0901,1
T-12,502,RON,FR,IT,EU,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-02T10:00:00,2026-05-09T10:00:00,7,Ecom Secure Preferred Credit,3DS authentication,0.0125,6.275,ENABLE_3DS,2.1859,MEDIUM,0.42,2.1859,1
T-13,814,RON,IT,FR,EU,Debit,VISA,card_present,POS,POS,5732,True,05,2026-05-12T10:00:00,2026-05-15T10:00:00,3,Standard Credit,MCC classification,0.015,12.21,FIX_MCC,1.9545,MEDIUM,0.39,1.9545,0
T-14,1523,RON,RO,DE,EU,Commercial,MASTERCARD,card_present,POS,POS,5411,True,05,2026-05-08T10:00:00,2026-05-15T10:00:00,7,Ecom Non-Secure Credit,clearing time,0.002,3.046,OPTIMIZE_CLEARING,5.0707,MEDIUM,0.89,5.0707,0
T-15,1368,RON,FR,DE,EU,Credit,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-13T10:00:00,2026-05-15T10:00:00,2,Ecom Non-Secure Credit,clearing time,0.015,20.52,OPTIMIZE_CLEARING,3.9067,HIGH,0.61,3.9067,1
T-16,4370,RON,DE,IT,EU,Debit,VISA,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-17T10:00:00,2026-05-17T10:00:00,0,Ecom Non-Secure Credit,3DS authentication,0.003,13.11,ENABLE_3DS,18.9772,MEDIUM,0.73,18.9772,1
T-17,4650,EUR,DE,FR,EEA,Prepaid,VISA,card_present,POS,POS,5732,False,07,2026-05-09T10:00:00,2026-05-10T10:00:00,1,Ecom Secure Preferred Credit,MCC classification,0.025,116.25,FIX_MCC,14.6409,HIGH,0.95,14.6409,0
T-18,839,EUR,RO,DE,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-07T10:00:00,2026-05-11T10:00:00,4,Standard Credit,3DS authentication,0.0125,10.4875,ENABLE_3DS,3.9117,HIGH,0.5,3.9117,1
T-19,4353,RON,FR,RO,EU,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-18T10:00:00,2026-05-20T10:00:00,2,Standard Credit,3DS authentication,0.025,108.825,ENABLE_3DS,19.6666,LOW,0.77,19.6666,1
T-20,1687,EUR,FR,RO,EU,Prepaid,VISA,card_not_present,MOTO,MOTO,5812,True,05,2026-05-09T10:00:00,2026-05-13T10:00:00,4,Ecom Secure Preferred Credit,MCC classification,0.015,25.305,FIX_MCC,2.9579,LOW,0.78,2.9579,0
T-21,4539,EUR,ES,ES,EU,Commercial,VISA,card_present,POS,POS,5732,True,05,2026-05-18T10:00:00,2026-05-18T10:00:00,0,Ecom Secure Preferred Credit,MCC classification,0.002,9.078,FIX_MCC,5.5636,MEDIUM,0.88,5.5636,0
T-22,346,RON,DE,DE,EEA,Credit,VISA,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-08T10:00:00,2026-05-13T10:00:00,5,Ecom Secure Preferred Credit,clearing time,0.002,0.692,OPTIMIZE_CLEARING,1.0591,MEDIUM,0.82,1.0591,1
T-23,2052,EUR,FR,FR,EU,Debit,VISA,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-04T10:00:00,2026-05-07T10:00:00,3,Ecom Non-Secure Credit,clearing time,0.002,4.104,OPTIMIZE_CLEARING,9.3895,MEDIUM,0.51,9.3895,0
T-24,588,RON,FR,DE,EEA,Credit,VISA,card_present,POS,POS,5812,True,05,2026-05-21T10:00:00,2026-05-25T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.015,8.82,OPTIMIZE_CLEARING,2.3747,MEDIUM,0.77,2.3747,1
T-25,2589,RON,IT,RO,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-17T10:00:00,2026-05-17T10:00:00,0,Standard Credit,clearing time,0.015,38.835,OPTIMIZE_CLEARING,12.1645,MEDIUM,0.71,12.1645,0
T-26,1040,RON,DE,IT,EEA,Debit,MASTERCARD,card_present,POS,POS,5411,False,07,2026-05-17T10:00:00,2026-05-19T10:00:00,2,Standard Credit,MCC classification,0.025,26.0,FIX_MCC,2.3142,LOW,0.5,2.3142,1
T-27,1741,EUR,DE,RO,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5732,True,05,2026-05-20T10:00:00,2026-05-25T10:00:00,5,Standard Credit,clearing time,0.0125,21.7625,OPTIMIZE_CLEARING,5.9106,MEDIUM,0.45,5.9106,1
T-28,1651,RON,IT,IT,EU,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-02T10:00:00,2026-05-03T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.015,24.765,ENABLE_3DS,11.6501,LOW,0.73,11.6501,1
T-29,65,RON,ES,DE,EU,Commercial,VISA,card_present,POS,POS,5411,False,07,2026-05-08T10:00:00,2026-05-09T10:00:00,1,Standard Credit,3DS authentication,0.025,1.625,ENABLE_3DS,0.4283,HIGH,0.94,0.4283,1
T-30,4897,RON,IT,IT,EEA,Debit,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-20T10:00:00,2026-05-27T10:00:00,7,Ecom Secure Preferred Credit,clearing time,0.025,122.425,OPTIMIZE_CLEARING,22.8987,HIGH,0.46,22.8987,1
T-31,3623,RON,DE,DE,EU,Commercial,VISA,card_not_present,MOTO,MOTO,5812,False,07,2026-05-10T10:00:00,2026-05-11T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.0125,45.2875,ENABLE_3DS,20.5759,LOW,0.57,20.5759,1
T-32,2730,EUR,IT,RO,EEA,Prepaid,MASTERCARD,card_present,POS,POS,5411,True,05,2026-05-14T10:00:00,2026-05-14T10:00:00,0,Standard Credit,MCC classification,0.003,8.19,FIX_MCC,9.5514,HIGH,0.78,9.5514,1
T-33,4961,EUR,FR,IT,EU,Commercial,VISA,card_present,POS,POS,5812,False,07,2026-05-08T10:00:00,2026-05-10T10:00:00,2,Standard Credit,3DS authentication,0.015,74.415,ENABLE_3DS,31.8903,LOW,0.89,31.8903,1
T-34,4868,RON,FR,IT,EEA,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5411,True,05,2026-05-01T10:00:00,2026-05-01T10:00:00,0,Ecom Secure Preferred Credit,MCC classification,0.025,121.7,FIX_MCC,11.1275,MEDIUM,0.48,11.1275,1
T-35,3473,RON,RO,RO,EU,Debit,VISA,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-16T10:00:00,2026-05-16T10:00:00,0,Ecom Non-Secure Credit,clearing time,0.025,86.825,OPTIMIZE_CLEARING,12.5662,LOW,0.38,12.5662,1
T-36,957,RON,FR,RO,EU,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-15T10:00:00,2026-05-20T10:00:00,5,Standard Credit,MCC classification,0.0125,11.9625,FIX_MCC,3.1588,LOW,0.35,3.1588,0
T-37,2009,RON,ES,RO,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-10T10:00:00,2026-05-17T10:00:00,7,Standard Credit,3DS authentication,0.025,50.225,ENABLE_3DS,14.0671,HIGH,0.52,14.0671,1
T-38,3461,EUR,DE,ES,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-14T10:00:00,2026-05-16T10:00:00,2,Standard Credit,clearing time,0.025,86.525,OPTIMIZE_CLEARING,16.1792,HIGH,0.47,16.1792,1
T-39,2031,EUR,FR,RO,EEA,Prepaid,VISA,card_present,POS,POS,5411,False,07,2026-05-15T10:00:00,2026-05-16T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.015,30.465,ENABLE_3DS,13.9108,MEDIUM,0.82,13.9108,1
T-40,2808,RON,IT,IT,EU,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5411,True,05,2026-05-09T10:00:00,2026-05-13T10:00:00,4,Ecom Non-Secure Credit,clearing time,0.002,5.616,OPTIMIZE_CLEARING,9.9681,LOW,0.49,9.9681,0
T-41,3332,EUR,FR,IT,EEA,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-10T10:00:00,2026-05-15T10:00:00,5,Ecom Non-Secure Credit,MCC classification,0.0185,61.642,FIX_MCC,7.0207,HIGH,0.43,7.0207,1
T-42,999,RON,DE,FR,EU,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-06T10:00:00,2026-05-07T10:00:00,1,Ecom Non-Secure Credit,MCC classification,0.003,2.997,FIX_MCC,3.2126,HIGH,0.65,3.2126,1
T-43,2267,EUR,RO,RO,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-18T10:00:00,2026-05-20T10:00:00,2,Ecom Secure Preferred Credit,3DS authentication,0.025,56.675,ENABLE_3DS,19.7693,LOW,0.93,19.7693,1
T-44,2088,RON,ES,FR,EU,Debit,VISA,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-03T10:00:00,2026-05-06T10:00:00,3,Ecom Secure Preferred Credit,clearing time,0.015,31.32,OPTIMIZE_CLEARING,4.6401,HIGH,0.69,4.6401,0
T-45,1868,RON,ES,RO,EU,Debit,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-15T10:00:00,2026-05-18T10:00:00,3,Ecom Non-Secure Credit,MCC classification,0.0125,23.35,FIX_MCC,6.6884,LOW,0.46,6.6884,1
T-46,4541,EUR,FR,RO,EU,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-01T10:00:00,2026-05-04T10:00:00,3,Ecom Secure Preferred Credit,3DS authentication,0.015,68.115,ENABLE_3DS,33.8162,LOW,0.75,33.8162,1
T-47,2187,RON,RO,RO,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-07T10:00:00,2026-05-10T10:00:00,3,Ecom Non-Secure Credit,MCC classification,0.002,4.374,FIX_MCC,5.7599,MEDIUM,0.75,5.7599,0
T-48,3317,EUR,ES,FR,EU,Credit,VISA,card_not_present,MOTO,MOTO,5812,False,07,2026-05-18T10:00:00,2026-05-21T10:00:00,3,Standard Credit,clearing time,0.015,49.755,OPTIMIZE_CLEARING,7.4345,HIGH,0.92,7.4345,0
T-49,2227,EUR,IT,RO,EEA,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-06T10:00:00,2026-05-09T10:00:00,3,Ecom Secure Preferred Credit,MCC classification,0.0185,41.1995,FIX_MCC,6.5797,HIGH,0.37,6.5797,1
T-50,1337,RON,FR,FR,EEA,Credit,MASTERCARD,card_present,POS,POS,5812,False,07,2026-05-16T10:00:00,2026-05-18T10:00:00,2,Ecom Non-Secure Credit,clearing time,0.025,33.425,OPTIMIZE_CLEARING,6.4652,HIGH,0.87,6.4652,0
T-51,3804,RON,DE,FR,EU,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-07T10:00:00,2026-05-11T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.0125,47.55,OPTIMIZE_CLEARING,14.7135,LOW,0.32,14.7135,1
T-52,1980,RON,IT,RO,EU,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-10T10:00:00,2026-05-14T10:00:00,4,Standard Credit,MCC classification,0.002,3.96,FIX_MCC,5.2604,MEDIUM,0.57,5.2604,0
T-53,3972,EUR,IT,FR,EEA,Credit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,True,05,2026-05-15T10:00:00,2026-05-19T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.003,11.916,OPTIMIZE_CLEARING,12.5148,HIGH,0.68,12.5148,0
T-54,4031,EUR,IT,FR,EU,Debit,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-18T10:00:00,2026-05-21T10:00:00,3,Ecom Secure Preferred Credit,3DS authentication,0.0125,50.3875,ENABLE_3DS,22.8243,LOW,0.51,22.8243,1
T-55,3894,RON,ES,ES,EEA,Credit,MASTERCARD,card_present,POS,POS,5732,True,05,2026-05-13T10:00:00,2026-05-18T10:00:00,5,Standard Credit,MCC classification,0.025,97.35,FIX_MCC,15.3519,MEDIUM,0.31,15.3519,1
T-56,1200,EUR,RO,FR,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-05T10:00:00,2026-05-05T10:00:00,0,Ecom Non-Secure Credit,clearing time,0.015,18.0,OPTIMIZE_CLEARING,5.2135,HIGH,0.34,5.2135,1
T-57,2374,RON,IT,DE,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-03T10:00:00,2026-05-06T10:00:00,3,Ecom Non-Secure Credit,3DS authentication,0.002,4.748,ENABLE_3DS,18.5216,MEDIUM,0.53,18.5216,1
T-58,3548,RON,DE,DE,EU,Commercial,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-17T10:00:00,2026-05-20T10:00:00,3,Standard Credit,3DS authentication,0.0185,65.638,ENABLE_3DS,26.2871,LOW,0.45,26.2871,1
T-59,2100,EUR,FR,ES,EEA,Commercial,MASTERCARD,card_present,POS,POS,5411,True,05,2026-05-01T10:00:00,2026-05-08T10:00:00,7,Ecom Secure Preferred Credit,clearing time,0.015,31.5,OPTIMIZE_CLEARING,9.8776,LOW,0.95,9.8776,0
T-60,3978,EUR,RO,IT,EEA,Credit,VISA,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-13T10:00:00,2026-05-17T10:00:00,4,Standard Credit,3DS authentication,0.0125,49.725,ENABLE_3DS,27.345,MEDIUM,0.84,27.345,1
T-61,2364,EUR,DE,RO,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-12T10:00:00,2026-05-13T10:00:00,1,Standard Credit,3DS authentication,0.025,59.1,ENABLE_3DS,11.7034,MEDIUM,0.78,11.7034,1
T-62,758,RON,FR,IT,EEA,Prepaid,VISA,card_present,POS,POS,5411,False,07,2026-05-14T10:00:00,2026-05-15T10:00:00,1,Ecom Non-Secure Credit,clearing time,0.003,2.274,OPTIMIZE_CLEARING,1.8165,LOW,0.79,1.8165,1
T-63,1868,EUR,ES,RO,EEA,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5812,True,05,2026-05-13T10:00:00,2026-05-20T10:00:00,7,Ecom Secure Preferred Credit,MCC classification,0.0185,34.558,FIX_MCC,3.9178,HIGH,0.91,3.9178,1
T-64,907,RON,IT,FR,EEA,Credit,VISA,card_not_present,eCommerce,eCommerce,5732,True,05,2026-05-16T10:00:00,2026-05-16T10:00:00,0,Ecom Non-Secure Credit,MCC classification,0.0185,16.7795,FIX_MCC,3.313,MEDIUM,0.95,3.313,1
T-65,971,EUR,ES,DE,EEA,Credit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-18T10:00:00,2026-05-19T10:00:00,1,Ecom Secure Preferred Credit,3DS authentication,0.015,14.565,ENABLE_3DS,6.0864,MEDIUM,0.32,6.0864,1
T-66,3055,EUR,ES,FR,EU,Commercial,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-15T10:00:00,2026-05-16T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.0125,38.1875,ENABLE_3DS,13.7376,MEDIUM,0.36,13.7376,1
T-67,1757,RON,RO,ES,EU,Debit,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-20T10:00:00,2026-05-20T10:00:00,0,Ecom Non-Secure Credit,MCC classification,0.002,3.514,FIX_MCC,5.9042,HIGH,0.3,5.9042,0
T-68,1205,RON,DE,RO,EEA,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-09T10:00:00,2026-05-16T10:00:00,7,Ecom Non-Secure Credit,3DS authentication,0.003,3.615,ENABLE_3DS,5.4823,MEDIUM,0.33,5.4823,1
T-69,3468,RON,ES,RO,EEA,Commercial,VISA,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-03T10:00:00,2026-05-06T10:00:00,3,Ecom Secure Preferred Credit,MCC classification,0.015,52.02,FIX_MCC,11.5625,MEDIUM,0.58,11.5625,0
T-70,904,RON,FR,ES,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5411,True,05,2026-05-15T10:00:00,2026-05-15T10:00:00,0,Standard Credit,clearing time,0.002,1.808,OPTIMIZE_CLEARING,2.6816,HIGH,0.58,2.6816,0
T-71,957,EUR,IT,IT,EEA,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-18T10:00:00,2026-05-23T10:00:00,5,Ecom Secure Preferred Credit,MCC classification,0.003,2.871,FIX_MCC,2.1917,HIGH,0.47,2.1917,0
T-72,1270,RON,ES,RO,EEA,Credit,MASTERCARD,card_present,POS,POS,5411,False,07,2026-05-03T10:00:00,2026-05-03T10:00:00,0,Standard Credit,MCC classification,0.002,2.54,FIX_MCC,1.6252,MEDIUM,0.86,1.6252,0
T-73,441,EUR,DE,RO,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-10T10:00:00,2026-05-12T10:00:00,2,Standard Credit,clearing time,0.002,0.882,OPTIMIZE_CLEARING,1.6466,LOW,0.82,1.6466,0
T-74,4615,RON,FR,FR,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5732,True,05,2026-05-21T10:00:00,2026-05-25T10:00:00,4,Ecom Non-Secure Credit,MCC classification,0.002,9.23,FIX_MCC,13.0465,HIGH,0.73,13.0465,1
T-75,590,RON,IT,IT,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-21T10:00:00,2026-05-21T10:00:00,0,Ecom Secure Preferred Credit,3DS authentication,0.002,1.18,ENABLE_3DS,4.561,HIGH,0.51,4.561,1
T-76,4669,EUR,IT,IT,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,True,05,2026-05-02T10:00:00,2026-05-03T10:00:00,1,Ecom Non-Secure Credit,MCC classification,0.003,14.007,FIX_MCC,15.2364,HIGH,0.37,15.2364,0
T-77,3541,RON,DE,IT,EU,Credit,VISA,card_present,POS,POS,5411,False,07,2026-05-19T10:00:00,2026-05-22T10:00:00,3,Ecom Non-Secure Credit,3DS authentication,0.0185,65.5085,ENABLE_3DS,25.9756,LOW,0.8,25.9756,1
T-78,2391,RON,ES,ES,EEA,Credit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-01T10:00:00,2026-05-04T10:00:00,3,Ecom Non-Secure Credit,clearing time,0.025,59.775,OPTIMIZE_CLEARING,7.8711,MEDIUM,0.31,7.8711,0
T-79,657,RON,IT,RO,EEA,Debit,MASTERCARD,card_not_present,MOTO,MOTO,5812,False,07,2026-05-14T10:00:00,2026-05-18T10:00:00,4,Ecom Secure Preferred Credit,clearing time,0.015,9.855,OPTIMIZE_CLEARING,2.7124,LOW,0.58,2.7124,1
T-80,887,EUR,FR,DE,EEA,Debit,VISA,card_present,POS,POS,5812,False,07,2026-05-19T10:00:00,2026-05-22T10:00:00,3,Standard Credit,3DS authentication,0.0185,16.4095,ENABLE_3DS,3.8968,LOW,0.64,3.8968,1
T-81,1608,RON,DE,ES,EU,Credit,VISA,card_present,POS,POS,5812,False,07,2026-05-21T10:00:00,2026-05-28T10:00:00,7,Ecom Secure Preferred Credit,clearing time,0.003,4.824,OPTIMIZE_CLEARING,4.3558,MEDIUM,0.79,4.3558,0
T-82,4767,RON,IT,RO,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-19T10:00:00,2026-05-24T10:00:00,5,Standard Credit,clearing time,0.025,119.175,OPTIMIZE_CLEARING,23.6424,LOW,0.53,23.6424,1
T-83,627,RON,ES,ES,EEA,Commercial,VISA,card_present,POS,POS,5411,True,05,2026-05-15T10:00:00,2026-05-15T10:00:00,0,Standard Credit,clearing time,0.002,1.254,OPTIMIZE_CLEARING,1.9476,HIGH,0.42,1.9476,1
T-84,4976,RON,RO,DE,EEA,Commercial,VISA,card_not_present,MOTO,MOTO,5411,True,05,2026-05-05T10:00:00,2026-05-05T10:00:00,0,Ecom Secure Preferred Credit,clearing time,0.015,74.64,OPTIMIZE_CLEARING,11.4971,MEDIUM,0.55,11.4971,1
T-85,2791,RON,ES,IT,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-02T10:00:00,2026-05-09T10:00:00,7,Ecom Non-Secure Credit,MCC classification,0.025,69.775,FIX_MCC,8.2109,HIGH,0.73,8.2109,0
T-86,2885,EUR,FR,DE,EU,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-13T10:00:00,2026-05-14T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.0185,53.3725,OPTIMIZE_CLEARING,11.905,MEDIUM,0.42,11.905,0
T-87,1774,RON,FR,ES,EU,Commercial,VISA,card_present,POS,POS,5732,True,05,2026-05-07T10:00:00,2026-05-08T10:00:00,1,Ecom Non-Secure Credit,clearing time,0.003,5.322,OPTIMIZE_CLEARING,4.3726,HIGH,0.8,4.3726,1
T-88,1376,EUR,IT,DE,EU,Prepaid,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-02T10:00:00,2026-05-05T10:00:00,3,Ecom Secure Preferred Credit,MCC classification,0.0125,17.2,FIX_MCC,4.168,HIGH,0.92,4.168,0
T-89,3629,RON,FR,RO,EEA,Prepaid,VISA,card_present,POS,POS,5812,True,05,2026-05-13T10:00:00,2026-05-17T10:00:00,4,Standard Credit,clearing time,0.0185,67.1365,OPTIMIZE_CLEARING,11.816,LOW,0.49,11.816,0
T-90,1333,EUR,RO,IT,EU,Commercial,MASTERCARD,card_present,POS,POS,5732,False,07,2026-05-17T10:00:00,2026-05-18T10:00:00,1,Ecom Secure Preferred Credit,clearing time,0.015,19.995,OPTIMIZE_CLEARING,3.0328,LOW,0.54,3.0328,0
T-91,250,RON,IT,IT,EU,Credit,VISA,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-21T10:00:00,2026-05-23T10:00:00,2,Ecom Non-Secure Credit,clearing time,0.003,0.75,OPTIMIZE_CLEARING,0.6032,LOW,0.66,0.6032,1
T-92,4343,EUR,RO,RO,EEA,Credit,VISA,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-10T10:00:00,2026-05-11T10:00:00,1,Ecom Non-Secure Credit,clearing time,0.0125,54.2875,OPTIMIZE_CLEARING,10.2736,MEDIUM,0.58,10.2736,0
T-93,2910,EUR,RO,ES,EU,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-14T10:00:00,2026-05-15T10:00:00,1,Standard Credit,3DS authentication,0.025,72.75,ENABLE_3DS,21.3625,MEDIUM,0.94,21.3625,1
T-94,2097,RON,RO,FR,EEA,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-12T10:00:00,2026-05-19T10:00:00,7,Ecom Secure Preferred Credit,MCC classification,0.002,4.194,FIX_MCC,4.2662,HIGH,0.42,4.2662,0
T-95,1124,RON,RO,FR,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-15T10:00:00,2026-05-15T10:00:00,0,Ecom Non-Secure Credit,3DS authentication,0.0125,14.05,ENABLE_3DS,5.6289,HIGH,0.42,5.6289,1
T-96,2944,EUR,IT,IT,EEA,Prepaid,VISA,card_not_present,MOTO,MOTO,5411,False,07,2026-05-11T10:00:00,2026-05-13T10:00:00,2,Standard Credit,3DS authentication,0.002,5.888,ENABLE_3DS,23.5423,MEDIUM,0.54,23.5423,1
T-97,4273,EUR,RO,RO,EEA,Prepaid,MASTERCARD,card_not_present,eCommerce,eCommerce,5411,False,07,2026-05-14T10:00:00,2026-05-14T10:00:00,0,Standard Credit,clearing time,0.015,64.095,OPTIMIZE_CLEARING,16.2688,HIGH,0.58,16.2688,0
T-98,3656,RON,RO,IT,EEA,Debit,VISA,card_present,POS,POS,5732,False,07,2026-05-02T10:00:00,2026-05-07T10:00:00,5,Standard Credit,clearing time,0.0125,45.7,OPTIMIZE_CLEARING,14.0557,HIGH,0.81,14.0557,1
